Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
10/5/2009,1,1,1,1,1,50,1,50,50,100,0,0
2/1/2000,1.05,1.05,1.05,1.05,1.05,150,1,157,,,0,0
12/27/1999,1,1,1,1,1,200,1,200,,,0,0
9/3/1999,1.4,1.4,1.4,1.4,1.4,100,1,140,,,0,0
8/13/1999,1.45,1.45,1.45,1.45,1.44,50,1,72,,,0,0
7/29/1999,1.45,1.45,1.45,1.45,1.45,100,1,145,,,0,0
6/11/1999,1.5,1.5,1.5,1.5,1.5,100,1,150,,,0,0
6/9/1999,1.7,1.7,1.7,1.7,1.7,250,1,425,,,0,0
5/5/1999,1.8,1.8,1.8,1.8,1.8,100,1,180,,,0,0
4/12/1999,1.9,1.9,1.9,1.9,1.9,100,1,190,,,0,0
9/21/1998,2,2,2,2,2,500,1,1000,,,0,0
9/18/1998,2.1,2.1,2.1,2.1,2.1,250,1,525,,,0,0
3/17/1998,2.3,2.3,2.3,2.3,2.3,50,1,115,,,0,0
3/12/1998,2.5,2.5,2.5,2.5,2.5,200,1,500,,,0,0
2/5/1998,2.6,2.6,2.6,2.6,2.6,100,1,260,,,0,0
12/23/1997,2.8,2.9,2.8,2.9,2.85,1000,2,2850,,,0.1,0.1
11/26/1997,2.9,2.9,2.9,2.9,2.9,550,1,1595,,,0,0
11/20/1997,3,3,2.9,2.9,2.93,2000,2,5855,,,0.1,-0.1
9/29/1997,3,3,3,3,3,100,1,300,,,0,0
9/22/1997,3,3,3,3,3,100,1,300,,,0,0
9/19/1997,3,3,3,3,3,550,1,1650,,,0,0
8/28/1997,3,3,3,3,3,200,1,600,,,0,0
8/22/1997,3.05,3.05,3.05,3.05,3.04,50,1,152,,,0,0
8/11/1997,3.05,3.05,3.05,3.05,3.05,500,1,1525,,,0,0
7/16/1997,3.05,3.05,3.05,3.05,3.05,200,1,610,,,0,0
7/15/1997,3.15,3.15,3,3,3.13,500,2,1567,,,0.15,-0.15
7/11/1997,3.15,3.15,3.15,3.15,3.15,400,1,1260,,,0,0
6/4/1997,3.25,3.25,3.25,3.25,3.24,50,1,162,,,0,0
6/2/1997,3.25,3.25,3.25,3.25,3.25,100,1,325,,,0,0
5/27/1997,3.25,3.25,3.25,3.25,3.25,200,1,650,,,0,0
5/22/1997,3.25,3.25,3.25,3.25,3.25,200,1,650,,,0,0
5/20/1997,3.25,3.25,3.25,3.25,3.24,50,1,162,,,0,0
5/15/1997,3.25,3.25,3.25,3.25,3.25,100,1,325,,,0,0
5/13/1997,3.25,3.25,3.25,3.25,3.24,50,1,162,,,0,0
5/6/1997,3.25,3.25,3.25,3.25,3.25,300,2,975,,,0,0
4/15/1997,3.25,3.25,3.25,3.25,3.25,200,1,650,,,0,0
3/20/1997,3.25,3.25,3.25,3.25,3.24,50,1,162,,,0,0
3/17/1997,3.25,3.25,3.25,3.25,3.25,500,1,1625,,,0,0
3/10/1997,3.25,3.25,3.25,3.25,3.25,100,1,325,,,0,0
3/4/1997,3.25,3.25,3.25,3.25,3.246666667,150,1,487,,,0,0
2/10/1997,3.25,3.25,3.25,3.25,3.24,50,1,162,,,0,0
1/31/1997,3.25,3.25,3.25,3.25,3.25,100,1,325,,,0,0
1/28/1997,3.25,3.25,3.25,3.25,3.25,500,1,1625,,,0,0
1/27/1997,3.25,3.25,3.25,3.25,3.25,500,1,1625,,,0,0
1/10/1997,3.5,3.5,3.25,3.25,3.362,1000,2,3362,,,0.25,-0.25
1/9/1997,3.5,3.5,3.5,3.5,3.5,450,1,1575,,,0,0
1/7/1997,3.5,3.5,3.5,3.5,3.5,300,1,1050,,,0,0
12/13/1996,3.5,3.5,3.5,3.5,3.5,450,1,1575,,,0,0
11/29/1996,3.65,3.65,3.65,3.65,3.65,100,1,365,,,0,0
11/27/1996,3.65,3.65,3.65,3.65,3.65,100,1,365,,,0,0
11/14/1996,3.65,3.65,3.65,3.65,3.65,300,1,1095,,,0,0
11/1/1996,3.65,3.65,3.65,3.65,3.65,100,1,365,,,0,0
10/31/1996,3.65,3.65,3.65,3.65,3.648888889,450,1,1642,,,0,0
10/24/1996,3.65,3.65,3.65,3.65,3.65,200,1,730,,,0,0
10/18/1996,3.75,3.75,3.75,3.75,3.74,50,1,187,,,0,0
10/17/1996,3.65,3.65,3.65,3.65,3.65,200,1,730,,,0,0
10/14/1996,3.65,3.8,3.65,3.8,3.725,200,2,745,,,0.15,0.15
10/11/1996,3.75,3.75,3.65,3.65,3.684615385,1300,3,4790,,,0.1,-0.1
10/3/1996,3.75,3.75,3.75,3.75,3.75,300,1,1125,,,0,0
9/30/1996,4,4,3.65,3.65,3.825,400,2,1530,,,0.35,-0.35
9/6/1996,4.8,4.8,4.8,4.8,4.8,200,1,960,,,0,0
8/30/1996,5,5,5,5,5,150,1,750,,,0,0
8/5/1996,5.5,5.5,5.5,5.5,5.5,100,1,550,,,0,0
8/2/1996,5.5,5.5,5.5,5.5,5.5,100,1,550,,,0,0
7/30/1996,5,5,5,5,5,500,1,2500,,,0,0
7/25/1996,6,6,6,6,6,100,1,600,,,0,0
7/23/1996,6,6,6,6,6,450,3,2700,,,0,0
7/19/1996,6,6,5.95,5.95,5.954375,1600,2,9527,,,0.05,-0.05
6/21/1996,6,6,6,6,6,400,2,2400,,,0,0
6/19/1996,6,6,6,6,6,50,1,300,,,0,0
6/17/1996,6,6,6,6,6,100,1,600,,,0,0
6/11/1996,6,6,6,6,6,200,1,1200,,,0,0
6/10/1996,6,6,6,6,6,100,1,600,,,0,0
6/7/1996,6,6,6,6,6,100,1,600,,,0,0
5/28/1996,6,6,6,6,6,200,1,1200,,,0,0
5/27/1996,6,6,6,6,6,100,1,600,,,0,0
5/24/1996,6,6,6,6,6,200,1,1200,,,0,0
5/23/1996,6,6,6,6,6,100,1,600,,,0,0
5/22/1996,6,6,6,6,6,100,1,600,,,0,0
4/8/1996,6,6,6,6,6,400,1,2400,,,0,0
3/18/1996,6,6,6,6,6,350,3,2100,,,0,0
3/15/1996,6,6,6,6,6,100,1,600,,,0,0
3/12/1996,6,6,6,6,6,300,2,1800,,,0,0
2/6/1996,6,6,6,6,6,250,2,1500,,,0,0
2/1/1996,6,6,6,6,6,700,4,4200,,,0,0
1/31/1996,6,6,6,6,6,600,3,3600,,,0,0
1/30/1996,6,6,6,6,6,100,1,600,,,0,0
1/29/1996,6,6,6,6,6,100,1,600,,,0,0
1/23/1996,6,6,6,6,6,100,1,600,,,0,0
1/22/1996,6,6,6,6,6,100,1,600,,,0,0
1/19/1996,6.1,6.1,6,6,6.05,200,2,1210,,,0.1,-0.1
1/17/1996,6.2,6.2,6.2,6.2,6.2,100,1,620,,,0,0
1/5/1996,6.4,6.4,6.4,6.4,6.4,50,1,320,,,0,0
1/4/1996,6.5,6.5,6.4,6.4,6.45,100,2,645,,,0.1,-0.1
1/3/1996,6.5,6.5,6.5,6.5,6.5,200,1,1300,,,0,0
1/1/1996,7,7,7,7,7,50,1,350,,,0,0
12/22/1995,7,7,7,7,7,500,2,3500,,,0,0
12/21/1995,7.4,7.4,7.4,7.4,7.4,50,1,370,,,0,0
12/20/1995,7.5,7.5,7.5,7.5,7.5,50,1,375,,,0,0
12/19/1995,8,8.2,8,8.2,8.15,200,2,1630,,,0.2,0.2
12/18/1995,8,8,8,8,8,200,1,1600,,,0,0
12/13/1995,8,8,8,8,8,100,1,800,,,0,0
12/12/1995,7.5,7.5,7.5,7.5,7.5,100,1,750,,,0,0
12/11/1995,8,8,8,8,8,200,1,1600,,,0,0
12/8/1995,7,7,7,7,7,500,3,3500,,,0,0
12/7/1995,5,7,5,5.5,5.5,400,2,2200,,,2,0.5
12/6/1995,7,7,7,7,7,200,1,1400,,,0,0
12/5/1995,7,7,7,7,7,500,1,3500,,,0,0
12/4/1995,7,8,7,7,7.047619048,2100,3,14800,,,1,0
11/28/1995,8,8,8,8,8,100,1,800,,,0,0
11/9/1995,8.5,8.5,8.5,8.5,8.5,200,1,1700,,,0,0
10/13/1995,10,10,10,10,10,700,2,7000,,,0,0
10/12/1995,8.5,10,8.5,10,9.318181818,550,4,5125,,,1.5,1.5
10/9/1995,8.5,8.5,8.5,8.5,8.5,700,1,5950,,,0,0
9/29/1995,8,8,8,8,8,50,1,400,,,0,0
9/25/1995,7.75,7.75,7.5,7.5,7.708333333,600,3,4625,,,0.25,-0.25
9/22/1995,7.75,7.75,7.75,7.75,7.75,200,1,1550,,,0,0
9/21/1995,7.75,7.75,7.75,7.75,7.75,500,1,3875,,,0,0
9/19/1995,7.75,7.75,7.75,7.75,7.75,400,1,3100,,,0,0
9/18/1995,7.75,8,7.75,7.75,7.875,400,2,3150,,,0.25,0
9/14/1995,8,8,8,8,8,100,1,800,,,0,0
9/12/1995,9,9,9,9,9,500,1,4500,,,0,0
9/7/1995,10,10,10,10,10,800,3,8000,,,0,0
9/6/1995,9.25,9.25,9.25,9.25,9.25,500,1,4625,,,0,0
9/5/1995,8.5,9.25,8.5,9.25,9.142857143,700,4,6400,,,0.75,0.75
9/4/1995,8.5,9,8.5,8.5,8.6,500,3,4300,,,0.5,0
8/31/1995,8.75,8.75,8.75,8.75,8.75,100,1,875,,,0,0
8/25/1995,8,10.5,8,10.5,8.416666667,600,3,5050,,,2.5,2.5
8/24/1995,9,9,9,9,9,500,1,4500,,,0,0
8/14/1995,10,10,10,10,10,200,1,2000,,,0,0
8/9/1995,9.75,9.75,9.75,9.75,9.746666667,150,2,1462,,,0,0
7/25/1995,9.75,9.75,9.75,9.75,9.75,100,1,975,,,0,0
6/30/1995,11.5,12.25,11.5,11.5,0,0,0,0,,,0.75,0
6/29/1995,10.25,11.5,10.25,11.5,0,0,0,0,,,1.25,1.25
6/28/1995,11.25,12,11.25,12,0,0,0,0,,,0.75,0.75
6/27/1995,12,12,11,11.25,0,0,0,0,,,1,-0.75
6/26/1995,14,14,13.75,13.75,0,0,0,0,,,0.25,-0.25
6/23/1995,13,14,12.25,14,0,0,0,0,,,1.75,1
6/22/1995,15,15,13,13,0,0,0,0,,,2,-2
6/21/1995,13,15,13,15,0,0,0,0,,,2,2
6/20/1995,10.5,11.5,10.5,11,0,0,0,0,,,1,0.5
6/16/1995,10.5,10.5,10.5,10.5,0,0,0,0,,,0,0
6/15/1995,10.5,10.5,10.5,10.5,0,0,0,0,,,0,0
6/14/1995,11,11,10.5,10.5,0,0,0,0,,,0.5,-0.5
6/13/1995,11,11,10.5,11,0,0,0,0,,,0.5,0
6/12/1995,10.5,10.5,10.5,10.5,0,0,0,0,,,0,0
6/8/1995,10,10.25,10,10.25,0,0,0,0,,,0.25,0.25
6/7/1995,11,11,10,10,0,0,0,0,,,1,-1
6/6/1995,12.75,12.75,10,10,0,0,0,0,,,2.75,-2.75
6/5/1995,15,15,15,15,0,0,0,0,,,0,0
6/2/1995,17.5,18.5,16,16,0,0,0,0,,,2.5,-1.5
6/1/1995,19,19.5,18,18.5,0,0,0,0,,,1.5,-0.5
5/31/1995,17,20,16.5,19,0,0,0,0,,,3.5,2
5/30/1995,15.5,17.5,15,17.5,0,0,0,0,,,2.5,2
5/29/1995,13,15.5,12,15.5,0,0,0,0,,,3.5,2.5
5/26/1995,12.5,13.75,12.5,13.75,0,0,0,0,,,1.25,1.25
5/25/1995,8,10,8,10,0,0,0,0,,,2,2
5/24/1995,7.5,8,7.5,8,0,0,0,0,,,0.5,0.5
5/23/1995,6.5,6.5,6.5,6.5,0,0,0,0,,,0,0
5/22/1995,3.75,3.75,3.75,3.75,0,0,0,0,,,0,0
5/18/1995,2.5,2.5,2.5,2.5,0,0,0,0,,,0,0
5/17/1995,1,1.5,1,1.5,0,0,0,0,,,0.5,0.5
5/3/1995,1,1,1,1,0,0,0,0,,,0,0
9/15/1993,2.5,2.5,2.5,2.5,0,0,0,0,,,0,0
2/16/1993,7.5,7.5,7.5,7.5,0,0,0,0,,,0,0
2/9/1993,10,10,10,10,0,0,0,0,,,0,0
2/3/1993,7.5,10,7.5,10,0,0,0,0,,,2.5,2.5
2/2/1993,8,8,8,8,0,0,0,0,,,0,0
1/21/1993,10,10,10,10,0,0,0,0,,,0,0
1/19/1993,9,11,9,11,0,0,0,0,,,2,2
1/18/1993,10,10,10,10,0,0,0,0,,,0,0
1/5/1993,10,10,10,10,0,0,0,0,,,0,0
12/23/1992,10,12.5,10,12.5,0,0,0,0,,,2.5,2.5
12/22/1992,10,12.5,10,12.5,0,0,0,0,,,2.5,2.5
12/21/1992,10,12.5,10,12.5,0,0,0,0,,,2.5,2.5
12/18/1992,10,12.5,10,12.5,0,0,0,0,,,2.5,2.5
12/17/1992,11.25,11.25,11.25,11.25,0,0,0,0,,,0,0
11/13/1992,11.25,11.25,11.25,11.25,0,0,0,0,,,0,0
11/12/1992,10,10,10,10,0,0,0,0,,,0,0
11/5/1992,15,17.5,15,17.5,0,0,0,0,,,2.5,2.5
11/4/1992,15,17.5,15,17.5,0,0,0,0,,,2.5,2.5
10/30/1992,15,17.5,15,17.5,0,0,0,0,,,2.5,2.5
10/22/1992,15,20,15,20,0,0,0,0,,,5,5
10/15/1992,18.5,18.5,18.5,18.5,0,0,0,0,,,0,0
10/9/1992,17.5,20,17.5,20,0,0,0,0,,,2.5,2.5
9/28/1992,17.5,17.5,17.5,17.5,0,0,0,0,,,0,0
9/22/1992,17.5,22.5,17.5,22.5,0,0,0,0,,,5,5
9/21/1992,17.5,17.5,17.5,17.5,0,0,0,0,,,0,0
9/15/1992,20,20,20,20,0,0,0,0,,,0,0
9/14/1992,20,20,20,20,0,0,0,0,,,0,0
9/9/1992,15,25,15,20,0,0,0,0,,,10,5
9/8/1992,15,20,15,20,0,0,0,0,,,5,5
9/7/1992,15,15,15,15,0,0,0,0,,,0,0
9/3/1992,15,17.5,15,17.5,0,0,0,0,,,2.5,2.5
9/2/1992,15,17.5,15,17.5,0,0,0,0,,,2.5,2.5
8/24/1992,15,15,15,15,0,0,0,0,,,0,0
8/12/1992,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
8/11/1992,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
8/6/1992,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
8/5/1992,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
8/4/1992,15,17.5,15,17.5,0,0,0,0,,,2.5,2.5
8/3/1992,10,15,10,15,0,0,0,0,,,5,5
7/31/1992,15,17.5,15,17.5,0,0,0,0,,,2.5,2.5
7/30/1992,15,17.5,15,17.5,0,0,0,0,,,2.5,2.5
7/29/1992,15,17.5,15,17.5,0,0,0,0,,,2.5,2.5
7/23/1992,14,14,14,14,0,0,0,0,,,0,0
7/21/1992,15,15,15,15,0,0,0,0,,,0,0
7/20/1992,15,15,15,15,0,0,0,0,,,0,0
6/10/1992,15,20,15,20,0,0,0,0,,,5,5
6/9/1992,15,20,15,20,0,0,0,0,,,5,5
6/8/1992,15,20,15,20,0,0,0,0,,,5,5
6/5/1992,15,17.5,15,17.5,0,0,0,0,,,2.5,2.5
